Quality,Angle (°),Angle (rad),Distance,x,y
15,"155,203125","2,70872565104167",502,"210,576496537178","-455,698956665613"
15,"156,640625","2,73381401909722","503,5","199,673541617983","-462,215022232869"
15,"158,109375","2,75944778645833",507,"189,066118807361","-470,42853093655"
15,"159,40625","2,78208185763889","516,75","181,801097118176","-483,713679346189"
15,"160,734375","2,805261328125","527,75","174,171324747531","-498,18110375213"
15,"162,09375","2,82898619791667",538,"165,45641920277","-511,925945176251"
15,"163,328125","2,85052947048611",554,"158,981852005968","-530,698380186667"
15,"164,59375","2,87261814236111","575,75","153,001509438039","-555,048286737002"
15,"165,796875","2,893616015625","597,75","146,713549393137","-579,465440664469"
15,"167,078125","2,91597738715278",614,"137,355531868802","-598,439184767373"
15,"168,5","2,94079305555556","639,25","127,500283271714","-626,405811168473"
15,"169,71875","2,96206362847222","671,25","119,862553640953","-660,461604284965"
15,"171,015625","2,98469769965278","686,25","107,227974344685","-677,820938019722"
15,"173,265625","3,02396644965278","6965,75","817,466615129498","-6917,6167424662"
15,"174,71875","3,04932751736111","4938,25","454,982134433177","-4917,24560296175"
15,"176,09375","3,07332508680556","4861,5","331,625048214432","-4850,17598416767"
15,"178,59375","3,11695703125","1033,5","25,4583403357726","-1033,18639310985"
15,"179,96875","3,14095460069444","1011,25","0,645230946641547","-1011,24979415426"
15,"181,40625","3,16604296875","993,75","-24,2950798492986","-993,452974022986"
15,"182,71875","3,18894973958333","985,75","-46,664800478423","-984,644838962917"
15,"184,0625","3,21240190972222","982,75","-69,5296594101163","-980,287299194636"
15,"185,453125","3,23667217881944","990,25","-94,0107057103659","-985,777383445086"
15,"186,796875","3,26012434895833","1010,75","-119,525567332115","-1003,65791047246"
15,"188,03125","3,28166762152778","1126,5","-157,278943314417","-1115,46653199005"
15,"189,4375","3,30621059027778","1095,75","-179,566518582207","-1080,93659754135"
15,"190,890625","3,33157165798611",1079,"-203,75650105903","-1059,58684791582"
15,"192,265625","3,35556922743056",1075,"-228,273512562359","-1050,48379495471"
